Name,Calories,Carbs,Protein,Fat,Sugar,Fibre,Cholesterol,calcium,phosphorus,magnesium,sodium,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vit a_ug,vit e_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug
Gunjia,667.34,5.68,2.98,70.28,2.05,1.13,2.36,48.16,65.47,17.83,77.90,154.16,0.50,0.06,2.15,0.00,0.13,0.01,0.38,6.01,33.88,0.62,0.00,5.60,0.00,10.91,0.03,0.07,0.19,0.32,0.04,0.63,10.91
Saunth/Sonth chutney with tamarind/imli,141.53,33.55,1.01,0.15,31.31,0.93,0.00,54.74,38.95,46.27,244.38,267.27,2.71,0.10,0.30,0.01,0.29,0.05,0.23,0.00,0.03,3.79,0.00,0.95,0.00,5.61,0.06,0.02,0.27,0.09,0.22,0.26,5.61
Rice kheer (Chawal ki kheer),75.03,10.05,2.30,2.97,8.02,0.17,0.00,75.57,65.41,7.33,16.24,83.08,0.17,0.04,0.65,0.00,0.08,0.03,0.25,0.00,0.21,0.07,0.00,0.08,0.00,4.87,0.02,0.07,0.13,0.23,0.03,1.26,4.87
Makhana kheer,107.85,12.88,3.31,5.00,11.54,0.11,1.77,111.64,100.56,13.39,23.40,139.35,0.28,0.05,0.90,0.00,0.13,0.02,0.34,6.63,0.34,0.09,0.00,0.05,0.00,8.55,0.04,0.10,0.12,0.33,0.05,1.80,8.55
Vermicelli kheer (Semiya/Seviyan ki kheer),120.07,15.87,3.35,5.00,12.79,0.50,2.12,104.80,90.34,10.67,22.52,116.57,0.30,0.05,1.46,0.00,0.06,0.03,0.35,7.93,0.36,0.16,0.00,0.09,0.00,7.01,0.03,0.10,0.12,0.32,0.04,1.78,7.01
Semolina kheer (Suji/Rava kheer),113.21,15.88,3.43,4.20,12.88,0.51,0.00,105.99,91.64,10.71,22.66,122.23,0.34,0.06,1.33,0.00,0.11,0.03,0.40,0.00,0.32,0.37,0.00,0.10,0.00,7.61,0.04,0.10,0.14,0.33,0.04,1.75,7.61
Paneer kheer,105.31,10.03,4.53,5.37,9.87,0.07,0.00,144.66,114.02,10.91,23.81,112.75,0.26,0.05,2.84,0.01,0.03,0.02,0.54,0.00,0.29,0.03,0.00,0.04,0.00,14.45,0.03,0.10,0.10,0.34,0.04,3.54,14.45
Cabbage kheer (Pattagobhi ki kheer),83.51,9.73,2.87,3.80,9.28,0.51,0.00,102.74,83.04,10.99,22.67,136.05,0.24,0.04,0.94,0.00,0.05,0.02,0.31,0.00,0.29,0.05,0.00,17.81,0.00,13.17,0.03,0.10,0.12,0.31,0.05,1.79,13.17
Carrot kheer (Gajar ki kheer),85.35,10.09,2.81,3.85,9.63,0.73,0.00,100.12,85.07,10.80,28.54,142.34,0.28,0.05,0.81,0.00,0.06,0.02,0.32,0.00,0.32,0.23,0.00,2.93,0.00,9.66,0.03,0.09,0.12,0.32,0.05,1.81,9.66
Cauliflower kheer (Phoolgobhi ki kheer),81.95,8.78,3.04,3.95,8.49,0.55,0.00,101.75,87.52,11.22,25.19,145.20,0.30,0.04,0.86,0.00,0.05,0.02,0.33,0.00,0.28,0.19,0.00,1.92,0.00,12.11,0.03,0.10,0.12,0.36,0.05,1.96,12.11
Moong dal kheer,77.16,9.89,2.95,2.97,7.92,0.40,0.00,75.66,76.45,11.91,16.34,123.56,0.28,0.06,2.46,0.00,0.05,0.05,0.31,0.00,0.22,0.09,0.00,0.34,0.00,7.97,0.03,0.07,0.13,0.27,0.03,1.25,7.97
Phirni,116.12,16.11,3.49,4.34,10.79,0.36,0.00,104.57,96.30,11.53,22.47,114.51,0.23,0.06,0.93,0.00,0.08,0.03,0.39,0.00,0.39,0.01,0.00,0.17,0.00,7.01,0.04,0.10,0.27,0.34,0.05,1.75,7.01
Semolina halwa (Suji ka halwa),225.65,24.67,2.16,13.38,13.98,1.86,30.82,11.77,27.64,13.08,1.28,70.46,0.65,0.11,1.83,0.00,0.48,0.05,0.42,115.52,1.21,1.46,0.00,0.37,0.00,4.99,0.05,0.01,0.25,0.13,0.02,0.13,4.99
Shahi suji halwa,382.34,44.44,3.48,21.73,27.21,2.96,50.05,18.64,43.89,20.88,2.18,99.83,0.98,0.18,2.94,0.00,0.77,0.07,0.69,187.59,1.96,2.35,0.00,0.58,0.00,7.58,0.08,0.02,0.40,0.21,0.03,0.21,7.58
Carrot halwa (Gajar ka halwa),172.64,18.53,3.11,9.73,16.85,2.65,14.66,106.94,98.65,22.98,39.96,249.93,0.76,0.10,5.73,0.02,0.24,0.03,0.54,54.94,0.72,0.93,0.00,11.04,0.00,26.70,0.05,0.04,0.22,0.26,0.08,3.56,26.70
Egg halwa (Ande ka halwa),299.74,39.59,7.85,13.41,37.85,0.49,204.93,35.77,96.90,7.93,83.04,119.03,1.45,0.06,21.01,0.00,0.21,0.01,0.69,159.92,1.14,0.23,0.44,0.04,7.57,25.57,0.03,0.10,0.06,0.76,0.08,9.48,25.57
Potato halwa (Aloo ka halwa),151.66,29.18,1.53,3.48,17.42,1.64,6.23,14.15,41.83,25.15,4.23,451.73,0.63,0.11,0.70,0.00,0.27,0.04,0.30,23.34,0.56,0.33,0.00,1.83,0.00,13.11,0.05,0.01,0.88,0.31,0.08,1.12,13.11
Pumpkin halwa (Kaddu ka halwa),190.27,27.60,1.33,8.81,26.64,2.97,9.52,24.34,35.10,19.35,8.09,235.46,0.63,0.15,1.97,0.00,0.31,0.06,0.25,35.68,1.37,1.08,0.00,54.33,0.00,17.99,0.03,0.03,0.37,0.14,0.06,1.17,17.99
Moong dal halwa,349.80,40.23,8.35,17.68,25.59,2.65,34.81,110.40,172.44,46.78,11.19,386.87,1.51,0.28,18.24,0.02,0.44,0.14,1.05,130.49,1.04,1.02,0.00,1.91,0.00,36.19,0.11,0.05,0.54,0.45,0.06,3.42,36.19
Caramel custard (steamed),121.58,15.02,4.97,4.87,14.98,0.00,78.88,88.12,102.44,8.22,43.57,105.29,0.51,0.05,9.33,0.00,0.01,0.00,0.49,42.67,0.47,0.00,0.18,0.00,3.15,15.17,0.03,0.11,0.08,0.54,0.06,5.21,15.17
Baked custard,106.53,9.45,5.41,5.30,9.42,0.00,85.92,95.32,111.51,8.82,47.13,114.36,0.54,0.04,10.16,0.00,0.01,0.00,0.53,46.48,0.51,0.00,0.20,0.00,3.43,16.53,0.04,0.12,0.08,0.58,0.07,5.68,16.53
Soft Custard (stirred),109.18,11.19,5.01,5.07,11.15,0.00,73.35,95.82,106.83,8.73,122.17,111.75,0.49,0.04,8.79,0.00,0.01,0.00,0.49,39.68,0.46,0.00,0.17,0.00,2.93,14.96,0.03,0.12,0.08,0.54,0.06,5.08,14.96
Chocolate ice cream,177.70,15.41,4.47,11.25,15.33,0.00,68.26,84.24,97.52,13.63,36.79,118.05,0.47,0.08,6.08,0.00,0.05,0.00,0.49,125.74,0.54,0.00,0.11,0.15,1.97,11.79,0.03,0.14,0.11,0.45,0.05,4.35,11.79
Mango ice cream,125.69,11.14,3.40,7.62,11.01,0.52,55.21,67.17,71.52,9.60,29.13,115.29,0.39,0.05,5.22,0.01,0.07,0.00,0.35,101.48,0.43,1.02,0.09,1.31,1.60,31.20,0.03,0.11,0.13,0.37,0.07,3.75,31.20
Fruit Ice cream (Phalon ka Ice cream),171.46,16.05,4.37,10.38,14.03,0.33,17.12,93.35,70.28,6.73,38.78,119.98,0.36,0.03,0.67,0.00,0.01,0.00,0.26,90.58,0.25,0.00,0.00,0.00,0.00,4.85,0.02,0.11,0.07,0.25,0.03,1.80,4.85
Caramel ice cream,173.52,14.81,4.31,11.15,14.52,0.08,54.79,87.32,91.34,11.98,33.47,105.17,0.35,0.06,4.41,0.00,0.04,0.01,0.43,125.11,0.52,0.05,0.08,0.25,1.35,9.56,0.04,0.12,0.10,0.39,0.04,3.41,9.56
Lemon souffle,168.51,13.43,6.95,10.02,11.67,0.00,100.42,59.81,75.16,7.40,50.73,88.44,0.56,0.02,9.28,0.00,0.01,0.00,0.42,164.56,0.52,0.00,0.18,0.00,3.08,13.55,0.03,0.12,0.08,0.45,0.05,5.03,13.55
Orange souffle,168.28,14.20,6.80,9.73,12.31,0.22,97.54,59.04,73.80,8.23,49.22,101.26,0.65,0.03,8.90,0.00,0.01,0.00,0.40,159.84,0.51,0.06,0.17,0.44,2.99,15.55,0.04,0.12,0.11,0.46,0.05,5.39,15.55
Vanilla souffle,187.85,14.78,7.71,11.19,12.86,0.00,109.43,70.60,86.96,7.70,56.73,90.16,0.58,0.03,10.02,0.00,0.01,0.00,0.46,179.31,0.58,0.00,0.19,0.00,3.36,14.12,0.03,0.14,0.08,0.50,0.05,5.62,14.12
Chocolate souffle,189.32,14.74,7.88,11.36,12.69,0.00,108.18,71.55,94.96,14.67,56.07,109.25,0.71,0.08,9.90,0.00,0.01,0.00,0.55,177.27,0.58,0.00,0.19,0.02,3.32,14.48,0.03,0.14,0.10,0.49,0.05,5.55,14.48
Pineapple souffle ,196.14,15.52,8.06,11.72,13.45,0.00,117.82,67.23,86.45,7.64,59.17,88.17,0.61,0.03,10.72,0.00,0.01,0.00,0.48,193.07,0.61,0.00,0.21,0.00,3.62,14.68,0.03,0.14,0.08,0.51,0.05,5.90,14.68
Apple mousse,106.92,12.77,4.21,4.27,10.56,1.60,57.67,33.76,43.78,8.41,28.79,109.32,0.48,0.04,6.27,0.00,0.04,0.23,0.28,66.99,0.36,0.90,0.12,2.25,2.00,9.65,0.03,0.06,0.19,0.30,0.05,3.09,9.65
Rich chocolate mousse,188.26,10.84,7.96,12.19,10.30,0.00,111.71,54.59,97.37,26.66,51.71,128.77,0.97,0.18,10.32,0.00,0.02,0.00,0.68,167.28,0.63,0.00,0.20,0.22,3.47,15.03,0.03,0.11,0.13,0.45,0.05,5.23,15.03
Mango mousse,124.98,9.14,3.21,8.47,8.89,0.88,23.66,51.38,40.02,10.48,19.62,113.71,0.35,0.05,1.27,0.01,0.11,0.01,0.20,125.16,0.33,1.69,0.00,3.31,0.00,39.67,0.03,0.10,0.16,0.19,0.07,1.94,39.67
Orange and pineapple cream,101.18,11.96,1.44,5.43,11.37,1.03,15.43,35.00,29.62,8.47,10.17,114.98,0.41,0.03,0.08,0.01,0.22,0.00,0.12,81.63,0.23,0.15,0.00,1.25,0.00,11.85,0.04,0.07,0.15,0.18,0.05,1.96,11.85
Charlotte rousse,188.29,34.08,3.95,4.78,20.48,1.01,47.04,34.95,46.18,9.65,56.45,92.26,0.53,0.04,4.30,0.00,0.34,0.00,0.27,77.08,0.35,0.50,0.08,0.79,1.44,11.35,0.04,0.07,0.10,0.28,0.06,2.71,11.35
Triffle pudding,116.97,18.24,2.93,3.93,13.89,0.12,36.95,48.72,59.71,8.37,26.95,99.90,0.47,0.04,3.70,0.00,0.07,0.00,0.31,46.81,0.24,0.29,0.07,0.04,1.25,9.82,0.03,0.07,0.20,0.30,0.05,2.51,9.82
Snow flakes pudding,95.21,8.07,4.67,4.97,8.01,0.03,57.55,101.33,105.45,8.74,39.60,115.36,0.42,0.04,7.11,0.00,0.01,0.00,0.46,31.13,0.41,0.07,0.13,0.09,2.30,13.36,0.03,0.12,0.08,0.50,0.06,4.45,13.36
Kulfi,98.43,11.30,3.21,4.70,10.39,0.12,0.00,111.86,94.04,10.63,23.97,114.04,0.20,0.04,0.92,0.00,0.03,0.02,0.35,0.00,0.47,0.02,0.00,0.10,0.00,6.92,0.03,0.10,0.11,0.32,0.04,1.87,6.92
Steamed orange pudding,278.03,41.53,2.34,12.04,26.53,0.58,31.86,21.15,83.06,11.23,79.10,108.76,0.55,0.05,0.22,0.00,0.16,0.01,0.23,138.80,0.42,1.25,0.00,1.25,0.05,14.81,0.06,0.03,0.22,0.25,0.04,0.59,14.81
Meringue and rice pudding,112.93,14.60,4.84,4.05,10.87,0.17,40.85,85.43,92.81,8.94,44.16,110.88,0.37,0.04,6.81,0.00,0.04,0.01,0.41,22.10,0.32,0.00,0.17,0.07,1.63,11.02,0.04,0.11,0.18,0.52,0.05,3.71,11.02
Cheese pudding,285.01,19.27,11.29,18.37,18.63,0.05,99.76,226.11,196.41,19.03,37.83,81.70,0.87,0.10,18.27,0.05,0.08,0.01,1.53,148.35,0.58,0.10,0.17,0.85,3.03,50.13,0.03,0.10,0.10,0.57,0.06,12.81,50.13
Chocolate pudding,211.96,29.59,3.55,9.48,20.68,0.53,46.25,64.56,77.36,12.04,171.36,79.22,0.60,0.09,4.53,0.00,0.09,0.00,0.39,98.78,0.35,0.00,0.06,0.66,1.10,10.91,0.05,0.06,0.33,0.19,0.03,1.84,10.91
Bread and butter pudding ,167.94,19.63,5.59,7.88,11.84,0.98,55.29,105.54,108.37,19.86,96.30,155.43,0.90,0.10,7.28,0.00,0.18,0.02,0.57,52.72,1.09,0.21,0.11,0.63,1.98,17.38,0.07,0.11,0.43,0.41,0.06,3.65,17.38
Queen of pudding,132.92,16.35,5.51,5.38,11.77,0.27,60.59,78.26,84.35,9.24,85.59,107.57,0.53,0.05,9.55,0.00,0.05,0.00,0.42,50.24,0.38,0.00,0.24,0.15,2.24,14.32,0.05,0.10,0.21,0.53,0.05,4.17,14.32
Pineapple upside down pudding,257.73,35.73,3.15,11.91,22.16,0.80,62.13,26.05,81.36,10.27,74.52,81.05,0.68,0.06,3.82,0.00,0.44,0.00,0.35,143.99,0.46,1.03,0.08,1.39,1.37,11.55,0.05,0.05,0.17,0.30,0.06,1.99,11.55
Date and nut pie,322.42,46.86,3.93,13.31,31.18,4.13,18.85,34.69,77.21,40.61,3.87,291.15,1.54,0.29,1.85,0.01,0.74,0.40,0.75,84.78,0.60,6.32,0.00,9.91,0.00,14.26,0.09,0.04,0.63,0.35,0.13,1.54,14.26
Stewed apple with custard,92.87,18.36,1.27,1.82,15.46,1.01,0.00,49.24,38.25,6.11,16.66,82.79,0.18,0.04,0.51,0.00,0.05,0.30,0.17,0.00,0.13,0.51,0.00,1.34,0.00,3.60,0.02,0.04,0.12,0.15,0.03,0.82,3.60
Apple snowballs,101.51,24.58,0.86,0.31,19.40,1.25,0.00,9.43,6.35,4.93,12.80,70.07,0.18,0.04,1.62,0.00,0.02,0.16,0.06,0.00,0.07,0.70,0.07,1.76,0.00,1.79,0.02,0.02,0.12,0.13,0.02,0.45,1.79
Hot orange souffle,179.97,18.77,6.87,8.95,14.93,0.29,160.48,53.81,107.81,9.92,58.80,114.96,1.03,0.05,16.83,0.00,0.04,0.01,0.65,128.26,0.77,0.37,0.34,0.72,5.99,25.13,0.05,0.11,0.14,0.75,0.08,8.35,25.13
Hot chocolate souffle,226.09,26.21,6.70,11.10,22.88,0.12,138.51,60.19,116.29,17.64,54.11,125.67,1.08,0.12,14.96,0.00,0.10,0.00,0.73,111.78,0.83,0.28,0.30,0.60,5.14,21.55,0.04,0.11,0.14,0.69,0.08,7.40,21.55
Hot vanilla souffle,192.93,21.77,6.87,9.07,18.17,0.13,153.55,63.20,113.07,9.22,59.59,105.25,0.93,0.05,16.19,0.00,0.04,0.01,0.66,122.73,0.76,0.32,0.33,0.40,5.73,22.59,0.04,0.12,0.11,0.73,0.08,7.89,22.59
Plain burfi (Burfi),408.32,30.88,9.82,27.96,30.43,0.17,38.12,355.78,284.64,38.12,31.65,325.37,1.50,0.07,25.91,0.07,0.08,0.02,1.43,142.89,1.25,0.09,0.00,0.11,0.00,54.97,0.07,0.07,0.30,0.22,0.04,11.85,54.97
Coconut burfi (Nariyal ki burfi),467.64,32.15,8.81,34.63,31.50,3.50,29.26,272.81,254.63,47.20,27.63,401.32,1.82,0.24,25.37,0.06,0.39,0.01,1.36,109.67,2.03,0.05,0.00,0.63,0.00,46.87,0.06,0.06,0.35,0.19,0.06,9.20,46.87
Bottle gourd burfi (Ghiya/Lauki burfi),275.96,24.51,5.86,17.68,23.92,0.73,26.43,215.85,170.71,24.42,18.15,229.64,0.93,0.06,16.20,0.04,0.07,0.00,0.88,99.07,0.64,0.30,0.00,0.73,0.00,47.22,0.05,0.04,0.20,0.31,0.03,7.95,47.22
Chocolate burfi,339.33,33.15,13.00,17.86,32.38,0.00,3.78,466.48,381.58,57.02,39.32,449.04,2.12,0.15,34.59,0.09,0.06,0.00,1.98,14.18,0.13,0.09,0.00,0.03,0.00,73.38,0.09,0.09,0.37,0.25,0.05,15.68,73.38
Cashewnut burfi (Kaju burfi/Kaju katli),421.74,37.92,5.48,28.46,31.43,1.12,38.62,12.95,145.64,89.83,4.23,186.05,1.79,0.68,3.80,0.00,0.52,0.01,1.58,144.73,1.37,1.12,0.00,0.53,0.00,7.33,0.18,0.01,0.30,0.41,0.05,0.75,7.33
Gram flour burfi (Besan burfi),421.79,46.59,11.19,22.41,28.44,3.41,40.13,160.71,181.36,35.67,13.02,226.63,1.47,0.14,11.63,0.03,0.74,0.01,1.06,150.41,1.78,0.24,0.00,2.94,0.00,84.51,0.17,0.08,0.72,0.48,0.16,7.42,84.51
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),428.71,52.86,6.71,21.86,33.28,4.68,27.87,106.42,133.31,32.29,14.40,259.35,1.73,0.27,12.47,0.02,0.87,0.04,1.17,104.47,1.61,2.47,0.00,0.79,0.00,24.15,0.11,0.04,0.47,0.31,0.06,3.32,24.15
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),464.43,50.90,5.68,27.03,27.32,6.69,33.81,26.72,90.08,34.77,9.06,264.85,1.83,0.36,9.07,0.01,1.14,0.04,1.08,126.74,2.13,2.96,0.00,1.03,0.00,14.32,0.11,0.03,0.54,0.33,0.07,0.51,14.32
Gram flour ladoo (Besan ladoo),476.91,62.61,8.93,22.76,37.76,4.43,52.34,25.35,88.26,26.77,5.48,142.26,1.51,0.15,2.26,0.00,0.89,0.06,0.74,196.17,2.15,0.80,0.00,3.32,0.00,70.32,0.18,0.06,0.76,0.49,0.17,3.03,70.32
Sesame ladoo (Til ke ladoo),396.96,43.50,10.70,19.64,38.63,7.72,0.00,631.82,376.60,221.36,18.55,430.91,8.94,0.71,12.15,0.01,1.12,0.11,3.74,0.00,0.59,28.73,0.00,48.18,0.00,66.09,0.18,0.04,1.80,0.32,0.60,1.84,66.09
Chenna murki,252.69,36.01,10.46,8.20,35.55,0.00,0.00,266.85,183.36,15.32,11.40,65.45,0.55,0.09,12.84,0.06,0.07,0.00,1.55,0.00,0.01,0.07,0.00,0.00,0.00,51.77,0.01,0.06,0.07,0.27,0.02,11.67,51.77
Milk cake,127.41,9.13,3.01,8.93,8.90,0.06,11.56,104.94,84.39,7.48,24.97,109.26,0.20,0.03,0.86,0.00,0.01,0.00,0.29,43.33,0.46,0.00,0.00,0.00,0.00,6.33,0.03,0.10,0.07,0.30,0.04,1.72,6.33
Ghujia/Lavang latika,768.98,13.00,1.86,78.93,6.08,0.52,4.62,31.01,36.13,7.25,3.28,54.27,0.44,0.04,2.51,0.01,0.09,0.01,0.22,17.32,37.19,0.64,0.00,4.88,0.00,6.44,0.02,0.01,0.10,0.09,0.01,1.03,6.44
Gulab Jamun with khoya,586.06,26.09,2.03,53.23,24.12,0.07,0.00,67.32,54.27,7.51,15.09,62.61,0.39,0.04,4.79,0.01,0.03,0.00,0.30,0.00,25.13,0.19,0.00,3.24,0.00,10.49,0.02,0.01,0.07,0.06,0.01,2.19,10.49
Mal pua,566.68,17.56,1.71,54.64,11.77,0.62,0.00,30.05,32.74,5.77,6.35,47.87,0.33,0.06,0.78,0.00,0.13,0.01,0.23,0.00,26.47,0.64,0.00,3.50,0.00,3.54,0.03,0.03,0.11,0.14,0.02,0.50,3.54
Shahi tukre,189.81,41.46,2.76,2.54,34.70,0.51,0.00,76.47,57.66,9.18,71.04,74.06,0.37,0.08,1.46,0.00,0.09,0.01,0.29,0.00,0.28,0.01,0.00,0.06,0.00,7.46,0.05,0.06,0.29,0.15,0.03,0.85,7.46
Potato pakora/pakoda (Aloo pakoda),677.19,6.04,1.90,71.84,0.22,1.03,0.00,6.59,21.94,7.85,63.38,90.01,0.38,0.04,0.39,0.00,0.14,0.00,0.15,0.00,35.37,0.02,0.00,5.53,0.00,16.18,0.04,0.01,0.28,0.14,0.05,0.78,16.18
Onion pakora/pakoda (Pyaaz ke pakode),674.61,5.41,1.90,71.84,0.88,1.11,0.00,7.95,20.62,7.13,63.55,46.12,0.36,0.04,0.34,0.00,0.15,0.00,0.16,0.00,35.37,0.09,0.00,5.81,0.00,17.76,0.04,0.01,0.19,0.13,0.05,0.93,17.76
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),671.63,4.52,1.98,71.86,0.23,1.26,0.00,8.44,22.40,7.73,66.54,64.86,0.42,0.03,0.35,0.00,0.15,0.00,0.15,0.00,35.36,0.16,0.00,6.98,0.00,19.79,0.04,0.02,0.19,0.17,0.05,0.92,19.79
Mixed vegetable pakora/pakoda,673.81,5.12,1.94,71.86,0.38,1.13,0.00,9.55,21.40,9.51,65.35,75.24,0.46,0.04,0.41,0.00,0.18,0.00,0.16,0.00,35.40,0.07,0.00,15.54,0.00,21.23,0.04,0.02,0.21,0.14,0.05,0.94,21.23
Spinach pakora/pakoda (Palak pakoda),712.62,4.68,1.96,76.38,0.20,1.02,0.00,10.99,19.90,10.79,69.54,66.87,0.52,0.04,0.45,0.00,0.20,0.00,0.15,0.00,37.67,0.02,0.00,26.10,0.00,24.19,0.05,0.02,0.19,0.11,0.05,0.92,24.19
Methi pakora/pakoda (Methi ke pakode),713.25,4.68,2.06,76.39,0.25,1.18,0.00,23.07,21.19,9.33,69.83,41.72,0.69,0.04,0.40,0.00,0.19,0.00,0.16,0.00,37.61,0.15,0.00,32.60,0.00,19.99,0.04,0.03,0.21,0.13,0.06,0.97,19.99
Egg pakora/pakoda (Ande ke pakode),710.51,4.48,2.83,75.86,0.19,0.86,28.39,9.55,31.92,6.16,75.37,37.75,0.47,0.04,3.45,0.00,0.13,0.00,0.22,15.36,37.12,0.00,0.07,5.53,1.13,18.83,0.04,0.03,0.17,0.21,0.05,2.07,18.83
Bread pakora/pakoda,710.99,8.87,2.57,74.20,0.46,1.11,0.00,19.83,26.10,7.17,101.49,38.92,0.46,0.04,0.95,0.00,0.17,0.00,0.19,0.00,36.45,0.00,0.00,5.44,0.00,17.43,0.05,0.02,0.31,0.10,0.04,0.64,17.43
Paneer pakora/pakoda,718.12,5.52,3.27,76.05,1.08,0.89,0.00,43.38,43.44,7.70,131.70,33.87,0.43,0.04,2.10,0.01,0.15,0.00,0.34,0.00,36.88,0.01,0.00,5.55,0.00,22.18,0.04,0.02,0.18,0.14,0.04,2.28,22.18
Potato bonda (Aloo bonda),632.84,4.53,1.09,67.80,0.27,0.83,0.00,6.79,16.90,9.02,132.53,105.94,0.37,0.05,0.38,0.00,0.12,0.04,0.14,0.00,33.32,0.82,0.00,7.90,0.00,8.94,0.03,0.01,0.26,0.12,0.04,0.56,8.94
Potato samosa (Aloo ka samosa),577.39,9.21,1.71,59.19,0.29,1.19,2.33,7.63,21.79,11.38,77.10,137.50,0.50,0.06,0.28,0.00,0.15,0.01,0.22,8.72,28.73,1.71,0.00,9.10,0.00,9.08,0.05,0.01,0.37,0.18,0.04,0.66,9.08
Minced meat samosa (Keema ka samosa),620.99,6.14,4.43,64.26,0.50,0.39,16.71,6.70,45.91,7.78,88.64,81.99,0.55,0.04,0.39,0.00,0.07,0.00,0.74,10.04,30.02,0.55,0.00,4.29,0.00,3.42,0.04,0.04,0.98,0.24,0.05,0.58,3.42
Paneer and pea samosa (Paneer matar ka samosa),623.81,8.55,4.02,63.65,1.69,1.02,0.00,64.56,56.39,11.02,78.18,52.58,0.53,0.06,3.06,0.01,0.12,0.00,0.54,0.00,30.45,2.12,0.00,9.54,0.00,19.57,0.05,0.02,0.24,0.20,0.04,3.14,19.57
Mathri,805.12,12.32,1.75,83.10,0.29,0.60,0.00,5.23,18.49,5.79,64.70,30.35,0.43,0.04,0.04,0.00,0.13,0.01,0.15,0.00,40.89,1.19,0.00,5.96,0.00,2.73,0.02,0.01,0.13,0.12,0.01,0.11,2.73
Khasta kachori,712.73,12.81,2.51,72.27,0.34,0.97,0.00,7.84,32.93,12.90,90.56,78.13,0.59,0.06,1.06,0.00,0.16,0.01,0.27,0.00,35.51,1.33,0.00,5.33,0.00,6.34,0.03,0.01,0.21,0.23,0.03,0.12,6.34
Vegetable cutlet,665.45,4.68,1.25,71.33,0.35,0.93,6.77,13.55,18.46,8.02,85.38,103.14,0.40,0.04,1.21,0.00,0.10,0.01,0.16,3.66,35.03,0.72,0.02,7.96,0.27,9.04,0.03,0.01,0.29,0.12,0.05,0.89,9.04
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),701.71,7.39,1.76,73.89,0.27,0.86,6.90,9.17,33.54,14.57,76.65,119.47,0.59,0.07,1.13,0.00,0.13,0.03,0.25,3.73,35.82,0.26,0.02,5.96,0.28,7.24,0.04,0.01,0.62,0.14,0.03,0.63,7.24
Peanut cutlet (Mungfali ke cutlet),698.77,5.68,2.63,74.00,0.51,1.21,6.75,14.38,43.60,20.00,84.24,143.30,0.56,0.10,1.41,0.00,0.17,0.02,0.34,3.65,35.22,0.57,0.02,5.89,0.27,11.37,0.06,0.02,1.08,0.16,0.04,0.67,11.37
Fish cutlet (Machli ka cutlet),654.64,3.13,2.77,70.11,0.29,0.54,11.02,10.44,35.34,9.02,75.33,109.15,0.36,0.04,4.18,0.00,0.08,0.01,0.15,6.80,34.31,0.19,0.08,6.50,0.37,5.46,0.02,0.01,0.32,0.20,0.04,0.58,5.46
Paneer potato cutlet (Paneer aloo cutlet),672.94,5.23,2.47,71.40,1.02,0.41,13.33,45.36,41.66,7.27,85.71,96.72,0.38,0.04,3.56,0.01,0.06,0.00,0.32,7.21,34.48,0.04,0.03,4.79,0.53,12.10,0.02,0.02,0.24,0.15,0.03,2.39,12.10
Spinach chickpeas cutlet (Palak channa dal cutlet),688.03,4.93,1.44,73.60,0.16,0.93,6.98,11.30,24.01,11.84,79.13,144.62,0.57,0.06,2.67,0.00,0.13,0.01,0.22,3.77,36.13,0.10,0.02,17.50,0.28,14.97,0.03,0.02,0.28,0.14,0.03,0.74,14.97
Cheese toast,785.37,5.49,1.98,84.11,0.53,0.31,11.55,43.87,47.28,4.08,121.05,26.04,0.31,0.03,1.82,0.00,0.06,0.00,0.22,15.91,40.80,0.01,0.02,5.36,0.31,4.72,0.03,0.02,0.17,0.06,0.01,0.64,4.72
Vegetable burger,519.93,13.69,3.26,50.63,1.88,1.70,7.40,26.08,18.34,6.46,168.97,90.87,0.70,0.03,1.07,0.00,0.08,0.00,0.16,7.26,23.90,0.72,0.01,8.16,0.18,7.95,0.03,0.04,0.84,0.12,0.04,0.91,7.95
Cheese pizza,249.50,30.62,5.79,12.43,3.42,1.95,10.64,96.51,110.07,17.36,397.73,152.89,1.09,0.07,0.52,0.00,0.37,0.01,0.63,22.59,2.73,1.90,0.00,5.14,0.00,12.09,0.22,0.04,1.04,0.14,0.07,0.98,12.09
Vegetable seekh kebab,690.73,5.32,1.57,73.72,0.74,0.59,0.00,32.66,27.84,7.92,83.67,104.53,0.36,0.04,1.50,0.01,0.12,0.01,0.22,0.00,35.92,0.14,0.00,6.50,0.00,8.41,0.02,0.01,0.26,0.09,0.03,1.20,8.41
Masala vada,826.02,4.06,1.69,89.15,0.24,1.07,0.00,7.45,25.69,10.44,74.53,97.19,0.52,0.09,2.49,0.00,0.14,0.04,0.25,0.00,43.82,0.63,0.00,8.60,0.00,11.92,0.03,0.01,0.16,0.12,0.02,0.11,11.92
