Name,Calories, Protein,Carbs,Fats
Sprouted moong pulao,112.97,17.49,2.19,3.61
Paneer pulao,581.91,8.76,1.98,59.81
Peanut pulao ,193.28,21.18,5.32,9.51
Navratan pulao,261.71,36.98,6.20,9.45
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),173.43,27.57,4.88,4.82
Mutton biryani/biriyani,190.76,22.50,7.38,7.72
Vegetable biryani/biriyani,174.61,18.56,3.16,9.51
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",176.30,21.62,4.26,7.88
Sweet rice (Meethe chawal),215.41,42.59,2.10,4.57
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),195.74,32.93,5.75,4.32
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),373.04,65.08,7.45,8.53
Spanish rice,164.24,31.10,4.19,2.23
Chinese fried rice,120.58,13.40,4.05,5.43
Macroni cheese pie,170.63,21.10,5.85,7.48
Vegetable chowmein,129.71,15.44,3.07,6.36
Chicken chowmein,151.33,13.30,6.33,8.23
Cheese noodle ring,133.67,13.96,6.22,6.12
Spaghetti and cheese balls in tomato sauce,508.32,7.82,2.41,52.08
Penne platter,177.40,20.87,5.04,8.71
Pasta hot pot,125.17,11.60,5.84,6.47
Chicken lasagne,187.49,13.90,10.45,10.36
Fettuccine with spinach sauce,129.21,12.19,3.10,7.83
Naan,286.45,51.75,8.05,4.99
Bhatura,793.20,10.73,1.63,82.56
Idli,137.54,28.18,4.64,0.33
Masala dosa,164.58,19.57,3.29,7.84
Semolina dosa (Suji/Rava dosa),227.05,32.84,7.30,7.12
Onion tomato uttapam,462.02,11.32,1.91,45.30
Paneer kaathi roll,285.94,20.10,6.92,19.55
Makki ki roti,263.97,24.19,3.49,16.85
Washed moong dal (Dhuli moong ki dal),50.00,5.91,2.68,1.68
Washed urad dal (Dhuli urad ki dal),61.32,5.84,2.51,2.98
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),73.25,7.10,2.79,3.60
Dry washed urad,124.71,15.66,6.85,3.50
Mixed dal,61.93,5.79,2.51,3.10
Whole moong (Moong ki dal),53.70,5.22,2.25,2.56
Whole masoor (Masoor ki dal),54.05,5.37,2.28,2.52
Whole moth (Moth ki dal),55.00,5.74,2.01,2.62
Whole urad (Urad ki dal),53.80,5.05,2.21,2.62
Moti mahal dal (Urad rajmah mix dal),103.13,8.74,3.93,5.66
Black channa curry/Bengal gram curry (Kale chane ki curry),140.68,14.11,5.67,6.61
Chickpeas curry (Safed channa curry),163.43,19.98,6.10,6.84
Lobia curry,148.99,17.88,6.06,5.62
Soyabean curry,163.28,6.76,10.43,10.19
Kidney bean curry (Rajmah curry),143.73,16.38,5.95,5.77
Sambar,96.92,10.57,3.35,4.38
Besan kadhi with pakodies,403.35,3.56,1.64,42.59
Khatta channa,202.57,21.14,6.30,10.56
Sprouted moong dal chat,32.47,6.01,1.35,0.32
Potato cauliflower (Aloo gobhi),106.18,5.99,1.90,8.13
Potato capsicum (Shimla mirch aloo),125.53,8.72,1.41,9.33
Cabbage and peas (Pattagobhi aur matar),63.88,6.24,3.24,2.64
Carrot and fenugreek leaves (Gajar methi),61.92,4.17,2.10,3.81
Potato fenugreek (Aloo methi),135.15,8.47,2.25,10.04
Brinjal bhartha (Baingan ka bhartha),65.12,4.40,1.38,4.48
Dry potato (Sookhe aloo),103.15,14.38,1.62,4.18
Beans with coconut (Nariyal aur sem/phali; Beans thoran),131.63,4.39,2.62,11.39
Cauliflower with coconut (Nariyal ke saath phoolgobhi),132.11,3.99,2.64,11.56
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),106.61,4.99,1.82,8.62
Raw turnip with coconut ,132.15,5.78,1.80,11.47
Raw papaya with coconut (Papaya thoran),132.75,5.58,1.54,11.42
Stuffed okra (Bharwa bhindi),94.34,3.85,2.08,7.66
Stuffed round gourd (Bharwa tinde),72.80,4.02,1.10,5.75
Stuffed capsicum (Bharwa shimla mirch),90.94,8.26,1.34,5.70
Stuffed brinjal (Bharwa baingan),93.00,3.96,1.53,7.73
Stuffed tomatoes (Bharwa tamatar),93.35,6.19,3.28,6.06
Pea potato curry (Aloo matar),100.92,9.74,3.48,5.13
Pea paneer curry (Matar paneer),134.83,9.29,6.61,7.75
Pea mushroom curry (Matar mushroom),93.30,7.41,3.87,5.16
Pea curry (Matar ki sabzi),102.99,9.20,4.51,5.11
Pea vadi curry,101.95,8.90,4.64,5.08
Paneer curry,176.52,8.40,7.80,12.38
Lotus stem curry (Kamal kakdi curry),110.34,9.24,1.53,7.25
Gravy for kofta,125.59,6.31,1.75,10.35
Pea kofta curry (Matar kofta curry),595.66,4.17,2.01,63.39
Spinach kofta curry (Palak kofta curry),571.78,3.56,1.09,61.49
Paneer kofta curry,670.91,3.27,2.39,72.06
Lotus stem kofta curry (Kamal kakdi kofta curry),633.56,5.01,0.96,67.76
Raw banana kofta curry (Kela kofta curry),627.27,3.40,0.62,67.98
Cauliflower kofta curry (Phoolgobhi kofta curry),641.10,2.62,1.04,69.62
Cabbage kofta curry (Pattagobhi kofta curry),639.81,2.87,0.98,69.40
Ghiya/Lauki Kofta Curry,638.71,2.71,0.89,69.40
Spinach paneer kofta curry (Palak paneer kofta curry),606.03,2.94,1.43,65.41
Vegetarian egg kofta curry,627.41,4.26,1.33,67.24
Baked vegetables,88.99,8.44,3.67,4.44
Cauliflower musallam (Phoolgobhi musallam),58.83,4.48,1.89,3.55
Baked vegetables with spinach ,77.79,6.93,3.22,4.03
Baked potato with skin ,135.77,11.11,3.43,8.50
Shepherd's pie (vegetarian),135.63,12.03,5.04,7.30
Baked brinjal in tomato sauce,38.63,4.13,1.58,1.62
Dum aloo,682.33,3.33,0.70,74.01
Spinach paneer (Palak paneer),77.68,4.43,4.03,4.76
Methi chaman,475.62,2.78,1.54,50.91
Sarson ka saag,87.84,5.33,3.00,5.86
Jackfruit sabzi (Kathal ki sabzi),625.40,3.40,0.69,67.60
Avial,124.56,8.47,2.46,8.94
Al yakhani,147.54,4.65,2.86,13.14
Shahi paneer,156.50,6.64,5.06,12.34
Paneer in butter sauce,145.61,9.70,6.99,8.81
Methi malai paneer,194.98,8.15,7.34,14.76
Chilli paneer,777.51,3.31,2.10,84.01
Paneer makhana korma,775.82,4.63,3.24,82.76
Kadhai Paneer,107.99,7.34,4.33,6.81
Roghan josh,139.59,4.93,9.56,9.02
Spinach mutton (Palak mutton),80.32,3.45,5.74,4.71
Pea keema curry (Matar keema ki sabzi),133.00,6.24,8.43,8.14
Keema kofta curry,154.45,5.64,9.77,10.39
Kashmiri mutton koftas (Gushtaba),97.42,3.04,6.33,6.77
Mutton yakhni,104.13,0.84,8.27,7.70
Chicken yakhni,99.00,0.78,10.66,6.10
Mutton do piaza,183.30,4.14,9.39,14.41
Mutton chops,663.64,1.48,4.03,71.31
Shammi kebab,685.69,3.54,4.52,72.61
Scotch egg,676.89,1.91,4.05,72.62
Shepherd's pie (with minced meat),142.78,8.06,7.45,8.88
Chicken curry,129.22,3.38,11.79,7.57
Tandoori chicken,145.20,2.34,16.26,7.93
Butter chicken,137.00,3.74,10.92,8.70
Chicken kebab,729.41,1.11,3.71,78.89
Chilli chicken,198.83,2.86,9.57,16.56
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),125.03,2.51,11.48,7.61
Fish curry (Machli curry),111.13,3.77,8.76,6.69
Fried fish (Indian style) (Tali hui machli),658.54,5.40,4.35,68.88
Fried fish and Chips (English Style) (Tali hui machli aur chips),651.75,2.77,3.36,69.69
Tomato fish,489.79,3.18,2.39,51.91
Baked fish with cheese sauce,113.96,4.06,8.64,7.02
Fish tikka,117.33,3.91,16.00,4.15
Tandoori fish,95.98,2.37,11.19,4.64
"Paneer, apple and pineapple salad",95.08,8.35,3.88,5.07
Russian salad,114.83,6.50,4.26,7.84
Pasta salad,190.36,12.70,4.15,13.92
Deviled egg,98.56,2.23,4.97,7.72
Hawain salad,175.23,14.35,4.27,11.37
Mixed pulse and vegetable salad,83.12,13.96,4.74,0.84
Sprouted moong salad ,37.81,5.48,2.29,0.74
Tossed salad,62.96,4.95,1.02,4.22
Mixed vegetable salad with curd sauce,60.28,7.03,4.23,1.50
Potato salad (Aloo ka salaad),89.91,11.19,1.40,4.40
Waldroff salad,141.75,11.02,1.47,10.05
Coleslaw,76.71,5.59,1.24,5.32
Fruit salad (Phalon ka salaad),78.14,15.96,0.91,1.22
Tomato onion raita (Tamatar aur pyaaz ka raita),59.00,7.08,3.74,1.84
Peanut raita (Mungfali ka raita),150.39,9.30,8.59,8.98
Sprouted moong raita ,60.89,6.13,4.62,2.19
Bottle gourd raita (Ghiya/Lauki ka raita),56.31,5.76,3.98,2.07
Cucumber raita (Kheere ka raita),59.13,6.35,4.04,2.08
Carrot and spinach raita (Gajar aur palak ka raita),56.83,5.83,4.00,1.99
Mint raita (Pudinay ka raita),77.59,7.65,5.64,2.96
Potato raita (Aloo ka raita),75.38,10.24,4.22,2.04
Boondi raita,687.72,3.96,2.19,73.83
Sweet raita (Meetha raita),99.24,17.93,3.24,1.78
Dahi vadas/Dahi bhalla,667.73,5.49,2.96,70.40
Gunjia,667.34,5.68,2.98,70.28
Saunth/Sonth chutney with tamarind/imli,141.53,33.55,1.01,0.15
Rice kheer (Chawal ki kheer),75.03,10.05,2.30,2.97
Makhana kheer,107.85,12.88,3.31,5.00
Vermicelli kheer (Semiya/Seviyan ki kheer),120.07,15.87,3.35,5.00
Semolina kheer (Suji/Rava kheer),113.21,15.88,3.43,4.20
Paneer kheer,105.31,10.03,4.53,5.37
Cabbage kheer (Pattagobhi ki kheer),83.51,9.73,2.87,3.80
Carrot kheer (Gajar ki kheer),85.35,10.09,2.81,3.85
Cauliflower kheer (Phoolgobhi ki kheer),81.95,8.78,3.04,3.95
Moong dal kheer,77.16,9.89,2.95,2.97
Phirni,116.12,16.11,3.49,4.34
Semolina halwa (Suji ka halwa),225.65,24.67,2.16,13.38
Shahi suji halwa,382.34,44.44,3.48,21.73
Carrot halwa (Gajar ka halwa),172.64,18.53,3.11,9.73
Egg halwa (Ande ka halwa),299.74,39.59,7.85,13.41
Potato halwa (Aloo ka halwa),151.66,29.18,1.53,3.48
Pumpkin halwa (Kaddu ka halwa),190.27,27.60,1.33,8.81
Moong dal halwa,349.80,40.23,8.35,17.68
Caramel custard (steamed),121.58,15.02,4.97,4.87
Baked custard,106.53,9.45,5.41,5.30
Soft Custard (stirred),109.18,11.19,5.01,5.07
Chocolate ice cream,177.70,15.41,4.47,11.25
Mango ice cream,125.69,11.14,3.40,7.62
Fruit Ice cream (Phalon ka Ice cream),171.46,16.05,4.37,10.38
Caramel ice cream,173.52,14.81,4.31,11.15
Lemon souffle,168.51,13.43,6.95,10.02
Orange souffle,168.28,14.20,6.80,9.73
Vanilla souffle,187.85,14.78,7.71,11.19
Chocolate souffle,189.32,14.74,7.88,11.36
Pineapple souffle ,196.14,15.52,8.06,11.72
Apple mousse,106.92,12.77,4.21,4.27
Rich chocolate mousse,188.26,10.84,7.96,12.19
Mango mousse,124.98,9.14,3.21,8.47
Orange and pineapple cream,101.18,11.96,1.44,5.43
Charlotte rousse,188.29,34.08,3.95,4.78
Triffle pudding,116.97,18.24,2.93,3.93
Snow flakes pudding,95.21,8.07,4.67,4.97
Kulfi,98.43,11.30,3.21,4.70
Steamed orange pudding,278.03,41.53,2.34,12.04
Meringue and rice pudding,112.93,14.60,4.84,4.05
Cheese pudding,285.01,19.27,11.29,18.37
Chocolate pudding,211.96,29.59,3.55,9.48
Bread and butter pudding ,167.94,19.63,5.59,7.88
Queen of pudding,132.92,16.35,5.51,5.38
Pineapple upside down pudding,257.73,35.73,3.15,11.91
Date and nut pie,322.42,46.86,3.93,13.31
Stewed apple with custard,92.87,18.36,1.27,1.82
Apple snowballs,101.51,24.58,0.86,0.31
Hot orange souffle,179.97,18.77,6.87,8.95
Hot chocolate souffle,226.09,26.21,6.70,11.10
Hot vanilla souffle,192.93,21.77,6.87,9.07
Plain burfi (Burfi),408.32,30.88,9.82,27.96
Coconut burfi (Nariyal ki burfi),467.64,32.15,8.81,34.63
Bottle gourd burfi (Ghiya/Lauki burfi),275.96,24.51,5.86,17.68
Chocolate burfi,339.33,33.15,13.00,17.86
Cashewnut burfi (Kaju burfi/Kaju katli),421.74,37.92,5.48,28.46
Gram flour burfi (Besan burfi),421.79,46.59,11.19,22.41
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),428.71,52.86,6.71,21.86
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),464.43,50.90,5.68,27.03
Gram flour ladoo (Besan ladoo),476.91,62.61,8.93,22.76
Sesame ladoo (Til ke ladoo),396.96,43.50,10.70,19.64
Chenna murki,252.69,36.01,10.46,8.20
Milk cake,127.41,9.13,3.01,8.93
Ghujia/Lavang latika,768.98,13.00,1.86,78.93
Gulab Jamun with khoya,586.06,26.09,2.03,53.23
Mal pua,566.68,17.56,1.71,54.64
Shahi tukre,189.81,41.46,2.76,2.54
Potato pakora/pakoda (Aloo pakoda),677.19,6.04,1.90,71.84
Onion pakora/pakoda (Pyaaz ke pakode),674.61,5.41,1.90,71.84
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),671.63,4.52,1.98,71.86
Mixed vegetable pakora/pakoda,673.81,5.12,1.94,71.86
Spinach pakora/pakoda (Palak pakoda),712.62,4.68,1.96,76.38
Methi pakora/pakoda (Methi ke pakode),713.25,4.68,2.06,76.39
Egg pakora/pakoda (Ande ke pakode),710.51,4.48,2.83,75.86
Bread pakora/pakoda,710.99,8.87,2.57,74.20
Paneer pakora/pakoda,718.12,5.52,3.27,76.05
Potato bonda (Aloo bonda),632.84,4.53,1.09,67.80
Potato samosa (Aloo ka samosa),577.39,9.21,1.71,59.19
Minced meat samosa (Keema ka samosa),620.99,6.14,4.43,64.26
Paneer and pea samosa (Paneer matar ka samosa),623.81,8.55,4.02,63.65
Mathri,805.12,12.32,1.75,83.10
Khasta kachori,712.73,12.81,2.51,72.27
Vegetable cutlet,665.45,4.68,1.25,71.33
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),701.71,7.39,1.76,73.89
Peanut cutlet (Mungfali ke cutlet),698.77,5.68,2.63,74.00
Fish cutlet (Machli ka cutlet),654.64,3.13,2.77,70.11
Paneer potato cutlet (Paneer aloo cutlet),672.94,5.23,2.47,71.40
Spinach chickpeas cutlet (Palak channa dal cutlet),688.03,4.93,1.44,73.60
Cheese toast,785.37,5.49,1.98,84.11
Vegetable burger,519.93,13.69,3.26,50.63
Cheese pizza,249.50,30.62,5.79,12.43
Vegetable seekh kebab,690.73,5.32,1.57,73.72
Masala vada,826.02,4.06,1.69,89.15
