Name,Calories, Protein,Carbs,Fats
Consomme au vermicelli,29.94,1.30,15.23,12.98
Green pea soup (Matar ka soup),39.81,3.63,11.06,12.90
Spinach soup (Palak ka soup),32.59,3.03,10.54,14.26
Mixed vegetable soup,35.71,2.95,8.22,11.66
Cheese soup,41.13,1.87,12.39,17.07
Mulligatawny soup,54.42,8.24,11.26,13.28
Cream of carrot soup,59.77,5.69,8.27,12.35
Cream of broccoli soup,56.14,3.72,8.97,12.75
Cream of potato soup,60.20,6.14,8.10,12.05
Almond soup (Badam ka soup),78.65,3.68,10.13,13.80
Cold cucumber cream soup ,11.88,1.76,0.34,0.34
Cold tomato soup,16.90,0.59,0.11,1.56
Chicken stew,127.55,4.44,7.19,8.91
Veg paneer stew,145.55,10.22,6.98,8.41
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),191.27,26.37,4.37,7.27
Methi parantha/paratha,148.36,22.19,4.27,4.34
Bathua poori,598.79,13.85,2.35,59.14
Gram flour poori (Besan poori),697.66,10.93,2.59,71.51
Beetroot poori (Chukandar ki poori),527.66,12.29,1.91,52.18
Peas poori (Matar ki poori),592.83,14.92,3.04,57.69
Peas kachori (Matar kachori),584.68,13.25,3.21,57.51
Pizza,146.77,9.94,6.85,8.72
Bacon and mushroom pancake,157.67,8.47,6.82,10.60
Cheese and tomato pancake,147.39,10.66,5.15,9.28
Minced meat pancake (with chicken),116.04,8.18,12.01,10.48
Eggplant/Brinjal rice (Vangi bhat),184.80,31.74,5.28,3.67
Kashmiri 'tahar',98.21,19.11,1.95,1.37
Cumin pulao (Jeera/Zeera pulao),135.24,23.61,2.47,3.20
Peas pulao (Matar pulao),108.87,18.42,3.89,1.90
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),116.53,19.72,3.60,2.30
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),125.51,21.55,3.44,2.58
Mutton pulao,130.77,11.26,6.52,10.78
Chicken pulao,108.24,11.17,6.07,8.48
Mexican rice,120.57,14.21,4.62,4.88
Plain khitchdi (Plain khichri/khichdi),57.03,10.04,1.72,1.01
Instant idli (with semolina),247.29,43.40,9.16,3.61
Plain dosa,380.91,64.08,10.34,8.43
Masala dosa mixed vegetable fillings,144.53,23.02,4.84,3.26
Masala dosa paneer fillings,243.12,29.76,10.31,8.84
Uttapam,255.95,36.28,6.18,9.03
Appam,267.70,13.28,3.12,22.63
Beans and macaroni,136.08,14.24,4.58,7.01
Spaghetti bolognese,97.43,10.04,9.35,9.51
Meat and macaroni casserole,161.55,16.12,9.15,10.17
Spaghetti with meat balls and tomato sauce,158.13,10.46,5.61,10.64
Spaghetti with paneer balls and tomato sauce,158.54,12.72,3.95,10.44
Lasagne with meat sauce,63.38,5.38,2.90,3.43
Lasagne with vegetables,49.23,5.90,1.71,2.16
Home made egg noodles,240.84,42.92,6.55,4.37
Sour lentils (Khatti dal),34.79,6.04,2.22,0.12
Urad special dehusked,69.43,8.86,3.14,2.17
Arhar with spinach (Arhar dal aur palak),52.84,4.77,2.05,2.76
Moong dal with vadi,24.08,1.00,0.40,2.05
Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),26.74,3.37,1.13,0.88
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),24.41,2.85,1.11,0.87
Green gram whole with baghar (Sabut moong dal with tadka),63.43,6.80,3.23,2.48
Urad sabut special,79.39,5.03,2.33,5.46
Kabuli channa curry,68.57,7.63,2.92,3.06
Besan gatte curry,189.38,16.26,7.75,10.72
Dry masala chops,135.07,3.30,9.08,9.54
Mutton korma,115.64,2.53,7.09,8.54
Shahi keema kofta curry,418.13,1.73,4.14,43.83
Minced meat ball curry,109.79,2.86,6.82,7.85
Boti kebab,132.86,3.06,9.22,9.27
Mutton seekh kebab,133.94,3.11,11.25,8.43
Indian lamb and egg curry (Nargisi kofta),335.75,2.07,3.84,34.70
Soya chunks sweet and sour (Nutrinugget sweet and sour),500.94,3.27,2.85,55.99
Soya chunks korma (Nutrinugget korma),131.43,7.67,3.86,9.50
Mushroom matar,70.77,5.33,2.79,4.11
Soya chunks and peas (Nutrinugget matar),82.62,5.82,3.03,5.11
Vegetable yakhni,406.06,1.94,1.18,43.80
Spinach mushroom (Palak mushroom),47.63,2.95,1.94,2.96
Vegetarian nargisi kofta curry,332.15,6.58,2.29,32.94
Roast chicken,199.90,0.10,20.49,13.06
Shahi chicken masala,163.70,4.07,9.82,12.02
Tomato chicken,111.68,2.13,10.57,6.71
Creamy chicken,152.87,3.13,13.52,9.57
Broccoli chicken ala king,119.56,5.34,7.97,7.57
Ginger chicken,129.17,5.60,8.24,8.24
Chicken sweet and sour,445.09,2.67,6.92,47.59
Chicken korma,147.96,5.43,9.83,9.67
Bengal fish curry (Bengali machli curry),109.43,4.42,7.26,7.03
Fish finger,542.90,4.47,5.66,55.82
Fish in coconut milk (Nariyal ke doodh ke saath machli),86.21,2.73,8.66,4.43
Prawn curry (with coconut) (Jhinga curry),109.55,3.10,8.54,6.93
Baked stuffed fish,121.96,2.12,16.14,5.43
Fish pie,120.90,7.74,9.25,5.77
Crispy baked fish,138.40,9.59,10.95,6.41
Fish souffle,139.71,5.14,10.51,8.55
Potato curry (Aloo ki sabzi),89.56,10.42,1.52,4.47
Egg curry (Anda curry),117.52,4.03,5.38,8.81
Vegetable curry with coconut ,83.07,7.19,2.77,4.66
Curd with potatoes (Dahi aloo),59.90,7.15,1.56,2.72
Potato kofta curry (Aloo kofta curry),455.40,2.78,0.56,49.08
Yam kofta curry (Zimikand/Suran kofta curry),322.88,3.75,0.71,33.84
Jackfruit kofta curry (Kathal ka kofta curry),321.08,3.17,0.80,33.83
Spinach and potato (Palak aloo),57.17,5.91,1.63,2.82
Mooli bhujia,91.20,4.74,1.69,7.25
Bathua bhujia,90.90,3.63,2.26,7.29
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),142.48,6.09,8.21,9.36
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),124.63,7.03,5.76,8.17
Dry arbi (Sookhi arbi),134.95,11.11,2.12,8.97
Masala arbi,185.38,16.16,3.01,11.90
Peas brinjal bhartha (Matar baingan bhartha),84.55,5.02,2.05,6.05
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),110.81,4.50,1.83,9.27
Crispy okra/Crispy lady's fingers (Karare bhindi),657.76,4.35,1.91,70.40
Beans foogath,105.06,3.26,2.03,9.22
Stuffed bittergourd (wet) (Bharwa karele),162.36,4.68,1.36,15.24
Jackfruit/Kathal (dry),488.97,4.56,0.93,51.78
Yam fried (Zimikand/Suran fried),491.76,5.47,0.79,51.79
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",95.67,8.23,2.75,5.54
Vegetable jalfrezi,68.48,5.43,1.40,4.38
Vegetables stir fry ,30.78,3.19,1.04,1.47
Broccoli delight,40.70,2.34,2.49,2.48
Dhansak (vegetarian),82.80,7.28,3.32,4.18
Cauliflower basket,90.95,3.97,5.21,5.88
Stuffed bottle gourd (Stuffed ghiya/lauki),93.19,4.36,5.84,5.80
Ducheese potato,140.54,10.94,3.60,9.01
Roast potatoes ,87.32,14.52,1.53,2.35
Stuffed baked potatoes ,100.20,11.03,3.82,4.39
Potato nests,111.62,11.05,5.71,4.77
Parsley potato,119.51,13.81,1.49,6.28
Creamed spinach and mushroom,419.62,3.17,2.28,44.14
Fricassee of Mushroom,106.66,8.13,3.65,6.63
Cauliflower au gratin,145.90,9.13,4.45,10.20
Vegetable and cheese pie,126.88,8.76,4.03,8.28
Spinach souffle ,150.18,6.27,7.36,10.52
Beetroot and egg salad (Chukandar aur ande ka salad),84.92,3.40,3.36,6.45
Sour cream potato salad,121.90,9.05,2.89,8.13
Tossed green salad,49.88,3.82,1.33,3.24
Spring basket salad,160.46,11.61,3.36,11.30
Cucumber and yogurt salad (Kheere aur dahi ka salad),36.13,4.72,2.09,0.93
Chicken and tomato towers,100.55,2.36,6.90,6.99
Jellied sunshine fruit salad,48.86,4.21,5.85,0.85
Tomato aspic,50.37,5.02,6.87,0.26
Frozen frosty fruit salad (Phalon ka salaad),103.51,15.61,1.68,4.17
French dressing,733.77,3.68,0.32,79.65
Mayonnaise without eggs,329.05,3.98,2.13,33.84
Curd dressing ,78.80,8.03,5.59,2.90
Carrot raita (Gajar ka raita),64.78,7.19,4.14,2.19
Pumpkin raita (Kaddu ka raita),55.60,6.02,3.74,1.88
Mint and peanut raita (Pudinay aur moongfali ka raita),112.05,7.31,7.05,6.19
Spinach raita (Palak ka raita),52.75,5.06,3.95,1.86
Bathua raita,54.40,5.31,4.13,1.76
Pineapple raita (Ananas ka raita),67.74,8.62,3.90,2.02
Banana raita (Kele ka raita),89.03,13.51,4.13,2.07
Mango raita (Aam ka raita),67.37,8.23,3.90,2.14
Guava raita (Amarood ka raita),64.36,7.27,4.19,2.07
Grapes raita (Angoor ka raita),72.59,9.66,3.98,2.07
Bottle gourd kheer (Ghiya/Lauki kheer),84.07,10.00,2.70,3.86
Pumpkin kheer (Kaddu ki kheer),86.35,10.44,2.76,3.86
Apple kheer (Seb ki kheer),81.30,11.34,2.14,3.18
Caramel custard (baked),122.70,14.95,5.11,5.01
Vanilla ice cream without egg,228.67,14.21,2.69,18.15
Vanilla ice cream with egg,214.85,11.71,4.16,17.02
Strawberry ice cream,215.61,12.26,4.15,16.96
Chocochip ice cream,241.45,16.75,4.23,17.93
Choconut ice cream,273.96,23.13,5.04,18.49
Pear chocholate sunday,183.49,15.02,2.08,13.11
Chocolate sauce,263.20,43.21,1.91,10.39
Coffee ice cream,150.62,14.09,3.15,9.43
Coffee pear alaska,203.99,19.36,2.88,13.22
Crunchy butterscotch,277.32,19.92,3.11,20.99
Peach melba ice cream,200.85,16.31,2.06,14.51
Vanilla ice cream with apples in hot cherry sauce,196.32,22.75,1.73,11.45
Grape and orange whip,57.39,6.72,1.41,2.62
Honey banana cream,125.49,13.64,2.78,6.68
Raspberry bavarian cream,150.10,17.82,3.34,7.88
Fruit delight,107.09,9.11,2.09,7.09
Creamy chocolate mousse,230.52,9.53,6.85,18.16
Cold lemon souffle,169.87,15.62,5.89,9.78
Cold orange souffle,173.19,16.27,5.94,9.82
Cold pineapple souffle,181.22,16.85,6.23,10.39
Cold vanilla souffle,179.54,16.29,6.22,10.32
Cold chocolate souffle,187.53,17.22,6.37,10.86
Stewed fruit (with pear),74.32,18.22,0.25,0.32
Apricot fool,240.79,33.64,1.54,11.35
Pavlova,200.60,21.84,1.84,12.29
Apple crumb pudding,220.85,35.17,1.54,8.87
Steamed cake with chocolate sauce,301.91,29.06,4.49,19.01
Hot lemon souffle,155.25,16.31,5.29,7.93
Gulab jamun with milk powder,471.15,28.24,0.85,40.15
Chum chum,130.05,28.27,1.52,1.92
Dil bahar,130.05,28.27,1.52,1.92
Rasbhari,130.05,28.27,1.52,1.92
Rajbogh,133.70,28.16,1.71,2.28
Rasgulla,118.64,25.79,1.38,1.75
Rasmalai,135.55,29.17,1.61,2.11
Khoa coconut burfi,411.45,36.55,9.98,26.01
Danedar burfi,102.68,12.33,3.24,4.72
Semolina burfi (Suji/Rava burfi),348.67,47.10,3.47,16.86
Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),186.18,17.02,1.75,12.66
Khoa ladoo,396.02,34.43,12.21,24.09
Wheat and gram flour ladoo (Atta besan ladoo),501.70,50.50,9.38,29.86
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),441.84,48.02,5.44,25.45
Sesame chickpeas brittle (Til aur channe ki chikki),282.74,50.49,8.50,4.66
Murmura chikki,253.82,59.59,2.12,0.32
Masala onion pakora/pakoda (Pyaaz ke pakode),551.64,6.48,2.05,57.61
Masala green chilli pakora/pakoda (Hari mirch kay pakode),668.76,5.55,2.22,71.01
Chicken pakora/pakoda,590.09,4.55,6.03,60.98
Fish pakora/pakoda,577.03,4.55,5.97,59.52
Paneer cutlet,672.20,7.62,4.59,69.38
Sago cutlet/vadas (Sabudana cutlet/vadas),558.76,11.23,0.56,56.97
Poshtik cutlet,496.45,7.39,2.00,50.94
Egg cutlet (Anda cutlet),575.02,5.77,2.45,60.25
Minced meat cutlet,531.86,5.61,5.10,54.47
Vegetable samosa,443.11,13.22,2.21,42.22
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),745.50,9.70,4.39,76.32
Masala urad dal vada,703.78,9.93,4.32,71.62
Khaman (dhokla),54.73,5.36,1.92,2.80
Instant dhokla,207.11,24.11,7.66,9.37
Tomato ginger chutney (Tamatar adarak ki chutney),44.66,9.11,1.05,0.32
Mint tomato chutney (Pudinay aur tamatar ki chutney),43.65,8.22,1.53,0.36
Coriander chutney (Hare dhaniye ki chutney),42.86,8.16,1.38,0.37
Gooseberry chutney (Amla chutney),43.02,8.83,1.44,0.62
Walnut chutney (Akhrot ki chutney),370.43,8.91,9.44,33.46
Saunth/Sonth chutney with ginger,84.22,20.62,0.28,0.11
Gun powder chutney,312.34,47.65,21.55,2.67
Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,346.36,36.72,12.88,15.88
Curd mint dip ,76.13,9.11,4.82,2.44
Curd vegetable dip,56.21,6.04,3.88,1.94
Mayonnaise vegetable dip,241.27,4.80,3.01,23.44
Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),150.68,20.51,4.03,6.31
Tomato sandwich (grilled),189.92,21.29,6.26,9.39
French sandwich (toasted),186.75,14.82,6.82,11.51
Peanut butter cucumber sandwich,243.33,29.76,9.04,10.56
Mint and peanut sandwich,273.59,31.83,7.18,13.88
Spicy chutney sandwich,249.58,34.03,8.74,9.58
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),285.78,22.62,12.58,16.77
Rolled sandwich,293.07,34.69,6.45,15.29
Ribbon sandwich,239.26,24.76,6.26,13.37
Checker board sandwich,348.37,25.94,7.37,24.65
Submarine sandwich,216.92,13.60,6.09,15.32
Cheese open sandwich,274.07,28.42,9.84,14.24
Sunset and sunrise open sandwich,241.31,18.89,8.58,15.14
Danish luncheon sandwich,193.82,17.77,9.03,10.10
Chicken and corn open sandwich,188.16,19.21,8.63,8.83
Chocolate sponge cake,239.86,39.54,9.13,5.51
Chocolate swiss roll,306.08,26.97,6.01,19.76
Lemon curd filling,225.62,26.41,3.43,12.58
Jam filling,184.62,46.15,0.00,0.00
Chocolate pastry,243.37,32.24,7.05,10.12
Assorted pastry,230.74,31.99,6.78,8.91
Orange gateau,178.05,27.01,4.78,6.02
Black forest gateau,217.82,30.57,5.94,8.58
Lemon cake,373.85,43.10,5.29,20.63
Dundee cake,396.62,41.40,7.78,22.70
Victorian sandwich cake,373.09,44.74,5.18,19.83
Chocolate eggless cake,312.01,43.45,6.66,13.19
Orange eggless cake,355.62,52.65,7.16,13.82
Chocolate glace icing,436.29,62.43,3.22,20.80
Butter icing,500.72,71.64,0.19,25.37
Chocolate butter icing,469.59,61.72,3.21,24.77
Almond biscuit (Badam ke biscuit),407.74,52.14,6.25,19.70
Orange biscuit,354.78,62.11,3.63,11.01
Gingerman biscuit,357.43,55.24,6.26,12.73
Coffee drops,443.07,43.06,7.57,27.16
Christmas biscuit,406.07,60.97,5.67,15.88
Christmas wreath biscuit,386.05,58.07,5.43,15.01
Christmas bell biscuit,404.85,60.79,5.66,15.84
Christmas star biscuit,392.03,74.54,3.54,10.04
Christmas tree biscuit,385.63,58.41,5.43,15.00
Chocolate cream shells,427.17,59.26,5.10,19.34
Jelly biscuit,404.61,55.24,4.23,19.33
Cherry and walnut cookies,422.60,59.35,5.63,18.75
Cheese straws,382.00,30.61,9.83,24.28
Butterfly biscuit,341.45,25.33,9.98,22.11
Flan pastry,445.80,47.84,6.72,25.04
Fruit flan,261.35,34.71,3.30,12.48
Orange cream flan,280.28,36.16,4.73,13.59
Fruit puree tart,286.50,30.42,3.35,16.83
Apple banana pie,243.99,32.12,3.13,11.39
Lemon chiffon pie,259.31,27.63,4.88,14.52
Orange chiffon pie,207.57,23.14,3.89,11.16
Cream buns,215.74,14.16,4.45,15.81
Savoury puffs,190.79,10.80,9.51,15.24
Choux swans,216.34,14.92,4.35,15.60
Potato aigrettes,530.03,8.01,2.35,54.24
Cream horns,408.23,23.12,3.42,33.55
Savoury cheese horns,295.15,21.38,5.66,20.71
Paneer patties,338.58,22.79,7.60,23.96
Vegetable patties ,261.92,20.98,4.01,17.74
Pearl millet infant food (Bajra shishu aahaar),362.44,62.10,11.98,6.62
Sajina,345.26,66.87,10.81,3.03
Cereal mix ,120.81,21.84,3.32,2.02
Pulse mix,83.29,16.00,3.16,0.54
Shishu ahar,93.37,17.42,2.61,1.43
Cereal pulse mix with amylase rice flour,151.57,27.80,4.27,2.74
Banana groundnut paste/puree,213.19,36.15,4.27,5.45
Rice dal porridge (Chawal dal ki khichdi/khichri),383.33,65.04,10.80,8.33
Lentils and semolina porridge (Dal suji porridge/daliya),117.29,23.19,3.26,1.06
Spinach khichri (Palak khichri/khichdi),102.18,17.35,3.43,1.91
Vegetable mix,174.21,36.02,4.70,0.94
Lentils and wheat porridge (Dal wheat porridge/daliya ),52.54,8.36,2.71,0.94
Maize porridge,89.57,15.64,2.14,1.89
Spinach peanut burfi (Palak aur mungfali ki burfi),105.37,13.59,3.36,4.39
Split bengal gram burfi/fudge (Channa dal burfi),287.36,54.63,4.65,7.09
Chickpea flour cookies (Sweet besan rounds/cookies),207.01,39.64,4.29,3.42
Pearl millet mathri (Bajra mathri),785.08,7.42,1.82,83.12
Sesame biscuit (Til ke biscuit),424.03,53.65,8.27,19.34
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),657.57,8.68,4.05,67.19
Poshtik namak paras,613.39,19.52,6.49,56.58
Soya chikki,423.70,62.89,7.18,15.51
Besan bathua chilla/cheela,373.82,40.65,11.48,18.57
Wheat flour and nuts ladoos (Atta nuts ladoos),391.90,44.31,9.46,19.19
Gram flour and semolina dhokla (Besan suji dhokla),198.91,25.92,8.52,7.10
Atta dal burfi ,298.80,40.64,6.66,12.47
Soya roti,283.96,40.03,9.18,9.23
Poshtik khichdi/khichri,93.37,15.64,3.04,1.88
Namkeen daliya,295.11,49.32,8.29,7.99
Sprouts upma ,316.25,44.96,9.50,10.44
Semolina idli (Suji/Rava idli),206.39,33.67,9.34,3.47
Poshtik chilla/cheela,159.53,27.47,4.85,3.04
Stuffed bittergourd (dry) (Bharwa karela),217.65,2.49,1.29,22.38
Cauliflower potato canjee,16.79,2.63,0.57,0.39
Creamed spinach,96.91,4.44,5.18,6.39
Mango milkshake with ice cream (Aam milkshake ice cream ke saath),68.35,9.18,1.93,2.80
Pineapple milkshake with ice cream (Ananas milkshake ice cream ke saath),68.49,9.33,1.93,2.75
Orange milkshake with ice cream (Narangi milkshake ice cream ke saath),67.82,9.15,1.95,2.75
Woodapple juice (Bel ka sharbat),34.18,6.51,0.63,0.70
Sattu drink,23.38,5.16,0.56,0.14
Apple and honey sorbet (Seb aur shehad ka sharbat),121.30,30.74,0.15,0.29
Thandai,101.18,9.13,3.59,5.89
Cucumber sharbat (Kheere ka sharbat),27.28,6.64,0.26,0.06
Apple oats chia seed smoothie,85.64,13.07,3.49,2.48
Nannari sharbat,88.79,23.62,0.01,0.01
Semolina milk drink (Thari kanji),44.16,6.93,0.98,1.36
Saffron milk (Kesariya doodh),102.18,12.64,3.17,4.57
Black rice kheer (Chak-hao kheer),147.94,22.93,4.37,4.91
Coconut kheer (Nariyal ki kheer),162.61,14.42,3.40,10.55
Apple sago payasam (Seb aur sabudana ki kheer),136.50,14.40,3.13,7.66
Kesari bath,244.57,31.38,2.40,12.59
Putharekulu,318.30,59.61,3.66,7.55
Mango malpua,334.64,12.84,1.65,30.67
Mango vanilla custard,147.63,18.41,3.43,7.04
Kiwi granola pudding,280.99,32.33,5.60,15.36
Oats burfi,425.19,62.47,8.89,17.27
Lotus seed halwa (Kamal gattay ka halwa),370.55,39.56,7.79,20.69
Amaranth ladoo (Rajgira ladoo),454.15,51.33,10.12,22.70
Chhena poda,344.57,33.64,13.68,17.94
Sweet couscous dessert,196.20,29.69,3.81,7.69
Sweetened yogurt (Shrikhand),107.18,16.02,5.27,2.89
Thickened sweetened milk (Rabri),102.79,10.55,3.52,5.35
Gram flour halwa (Besan halwa),276.79,25.78,5.88,17.30
Prawn sandwich,169.65,11.89,10.36,9.27
Watercress sandwich,229.42,28.03,5.17,11.47
Fish sandwich ,150.20,10.09,4.72,10.37
Kidney bean sandwich with cottage cheese,176.64,18.86,9.85,6.84
Finger millet biscuit (Ragi biscuit),458.56,52.69,4.03,25.79
Buttermilk biscuit,322.54,34.93,5.76,17.50
Lemon cookies,394.48,42.19,5.63,23.02
Sweet potato biscuit (Shakarkand ke biscuit),296.40,38.13,5.14,13.31
Raspberry shortbread cookies,441.12,61.25,3.00,21.25
Pumpkin cookies ,218.40,44.69,2.51,3.93
Greenpea cookies,159.42,23.07,6.53,4.24
Sunflower cookies,520.62,40.06,9.49,36.28
Cardamom cookies (Elaichi cookies),400.49,53.99,5.10,19.12
Hazelnut cookies,493.32,39.44,6.25,34.97
Milk cookies,459.43,48.43,10.49,24.96
Cranberry cookies,272.48,36.39,3.92,12.66
Olive biscuit,438.29,55.01,3.20,23.75
Tutti fruitti biscuit,420.78,53.12,5.21,17.90
Peach blueberry preserves,177.38,45.76,0.53,0.20
Pear preserves (Naashpati ka murabba),101.24,25.67,0.25,0.19
Starfruit preserves ,128.93,33.62,0.24,0.12
Gooseberry pickle (Amla ka achaar),278.58,7.61,1.55,27.61
Lotus stem pickle (Kamal kakdi ka achar),102.69,20.07,1.44,1.60
Date pickle (Khajoor ka achaar),182.29,34.66,1.68,4.21
Garlic pickle (Lahasun ka achar),413.62,9.75,3.72,39.88
Fermented bamboo shoot pickle (Mesu pickle),59.83,1.73,1.58,5.59
Sweet peach pickle (Aadoo ka achaar),144.64,37.01,0.46,0.20
Pickled mustard greens ,13.12,1.05,1.51,0.22
Small onion pickle ,16.86,2.76,1.65,0.64
Green tomato pickle (Haray tamatar ka achaar),193.26,2.87,1.23,19.67
Pickled cabbage ,13.69,2.56,0.39,0.14
Coconut pickle (Nariyal ka aachar),517.26,11.53,3.02,51.71
Potato pickle (Aloo ka achaar),369.14,7.87,2.07,36.46
Mango murabba candy,293.35,77.32,0.27,0.05
Afghani chicken,151.51,1.95,15.66,9.07
Fish orly,563.70,4.27,5.87,58.18
Hariyali Fish Tikka,150.24,2.21,14.01,9.41
Chicken manchurian,142.34,6.06,9.53,11.96
Handi chicken,166.02,1.49,12.32,12.46
Lemon chicken,169.79,0.55,20.20,9.66
Lemon butter fish,160.25,0.75,16.38,10.26
Baked eggs in tomato sauce,80.05,3.78,4.92,5.22
Egg in a pepper,128.78,0.17,12.64,8.68
Spinach mushroom scrambled egg (Palak mushroom bhurji),158.85,0.59,13.28,11.51
Corn omelette/omlet,166.93,1.57,11.37,12.89
Cajun chicken,184.94,1.94,12.69,13.99
Paaner do pyaza,127.70,3.41,4.22,10.87
Cabbage manchurian (Pattagobhi manchurian),224.26,4.85,0.64,22.48
Gobi 65,278.29,3.59,0.56,29.11
Paneer lababdar,105.48,3.37,3.98,8.46
Roasted cauliflower steak,78.68,2.02,2.05,6.70
Sauteed radishes with green beans,94.32,6.04,2.41,6.61
Garlic chutney/Poondu chutney (Lahasun ki chutney),255.51,20.44,3.34,17.55
Schezwan chutney,205.19,10.79,3.33,17.72
Onion chutney (Pyaaz ki chutney/Vengaya chutney),143.94,13.52,2.97,8.38
Dates chutney (Khajoor ki chutney),103.57,21.69,1.07,1.12
Chicken salad,338.19,1.30,15.33,30.26
Macaroni salad,262.19,21.63,5.02,17.78
Cabbage raita (Pattagobhi raita),84.84,5.25,3.24,5.76
Pomegranate raita (Anaar ka raita),72.64,7.15,4.05,3.24
Onion raita (Pyaaz ka raita),71.56,7.86,4.86,2.43
Green chilli raita (Hari mirch ka raita),77.13,7.66,5.58,2.92
Kale salad,177.71,5.01,4.86,15.33
Spinach and paneer souffle ,186.19,9.64,7.56,13.49
Masala souffle ,123.51,8.02,6.38,7.37
Chicken and cheese souffle,182.35,3.47,9.07,14.74
Tamarind chutney (Chintapandu pachadi/Puli chutney),109.15,25.07,0.88,0.48
Pav bhaji masala,230.47,29.15,9.13,10.96
Green chutney,79.42,10.01,5.42,1.60
Sago khitchdi/khichri (Sabudana khitchdi/khichri),187.16,22.41,2.72,10.10
Gram flour chilla/cheela (Besan chilla/cheela),135.93,21.03,7.80,2.85
Vegetable namkeen jave,112.23,18.98,2.93,2.51
Khakhra,178.50,27.66,4.78,5.32
Moong bean dosa (Pesarattu),285.96,31.91,12.32,11.67
Methi thepla,346.16,41.34,8.98,15.95
Rice puttu (Ari puttu),81.98,11.82,1.26,3.13
Buckwheat pancake (Khura),263.30,27.28,2.91,16.43
Quinoa khichdi/khichri,64.01,8.83,3.18,1.59
Khakhra chaat,358.66,16.64,4.52,30.65
Banana appam,469.81,20.06,1.17,42.53
Veg manchurian,585.64,6.82,0.89,61.65
Pav bhaji,96.53,11.99,2.66,4.32
Rice murukku,593.99,33.29,5.41,48.22
Bhel puri ,509.89,16.47,3.52,47.91
Semolina dhokla (Suji/Rava dhokla),194.91,30.86,5.44,5.20
Spicy corn chaat ,479.80,11.45,4.61,46.55
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),597.79,24.00,2.34,54.41
Banana chips (Kele ke chips),665.67,7.32,0.37,70.46
Wheat cake,314.63,41.13,4.79,14.95
Mango cheesecake,152.46,20.06,2.39,7.30
Carrot cake (Gajar ka cake),255.59,35.98,5.60,10.27
Semolina cake (Suji/Rava cake),374.14,31.32,6.58,25.18
Finger millet cake (Ragi cake),279.46,38.93,3.96,12.27
Honey cake,333.59,49.04,3.08,14.70
Almond cardamom cake (Badam elaichi cake),356.35,34.53,7.18,21.36
Tutti frutti cake,347.72,52.94,4.49,12.68
Ham and Bean soup,96.04,4.18,10.61,4.15
Whey soup,68.91,6.26,3.45,3.34
Bottle gourd soup (Ghiya/Lauki soup),23.05,1.16,0.45,1.79
Baked potato soup,147.05,5.85,5.73,11.21
Pumpkin soup,40.05,2.08,0.47,3.20
Sweet corn soup,32.25,3.56,0.99,1.63
Paneer soup,47.85,2.42,3.22,2.80
Curried Cauliflower soup,37.32,3.12,6.72,9.77
Millet soup,55.99,8.22,11.26,12.57
Lemon coriander soup,108.06,10.32,2.27,6.26
Garlic soup,194.86,6.99,2.38,17.62
Dal makhani,74.04,7.96,3.32,3.06
Dalma,118.93,15.04,4.91,4.58
Split bengal gram dal (Channa dal),99.67,9.99,4.15,4.62
Horsegram dal (Kulthi dal) ,55.65,8.21,2.91,1.13
Panchmel dal,111.22,10.71,4.63,5.36
Dal dhokli,68.74,8.55,2.96,2.47
Gujarati handvo ,207.09,31.86,8.24,4.80
Sev (Omapodi/Karapusa),609.14,12.87,5.12,60.08
Papdi,708.96,12.89,1.83,72.11
Jowar dosa,294.35,40.53,8.50,10.28
Bread roll,435.46,16.12,2.85,40.25
Soya seekh kebab,115.05,10.00,5.40,5.88
Classic seasoned black beans,28.78,7.66,8.01,8.28
Maa chaane ki dal,344.67,43.11,19.80,9.50
Garlic chickpea soup (Lahasun aur chane ka shoraba),89.53,13.92,4.45,2.01
White sauce (thin),115.17,6.58,3.31,8.41
White sauce (medium),151.27,7.98,3.36,11.76
White sauce (thick),209.69,10.24,3.43,17.19
Cheese sauce,194.76,7.08,7.68,15.12
Egg sauce,146.85,5.88,5.97,11.08
Mushroom sauce,137.56,7.31,3.39,10.51
Mustard sauce,158.58,8.29,3.98,12.17
Brown sauce,109.18,5.38,11.92,23.67
Classic italian pasta,42.12,4.40,0.57,2.45
